"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in the batch {0} or in the Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","
			품목 {1}의 로트 {0}이(가) 창고 {2}{3}에서 음수 재고입니다.
			이 전표를 처리하려면 재고수량 {4}을(를) 추가해 주세요.
			조정전표를 등록할 수 없다면 로트 {0} 또는 재고 설정에서 '로트 음수재고 허용'을 활성화한 후 처리하세요.
			단, 이 설정을 활성화하면 시스템에 음수 재고가 발생할 수 있습니다.
			올바른 평가단가를 유지하도록 가능한 한 빨리 재고수량을 조정해 주세요."
  ,  
 Address, 주소
 Amount, 금액
 BOM, BOM
 Default Work In Progress Warehouse , 기본 재공품창고 
 Is Child Table, 하위 테이블 여부
 Is Subcontracted, 외주가공 여부
 Item, 품목
 Name, 명칭
 Phantom Item, 팬텀 품목
 Rate, 단가
 Raw Material, 원재료
 Skip Material Transfer, 자재이동 생략
 Sub Assembly, 반제품
 Summary, 요약
 You are impersonating as another user., 다른 사용자로 가장하고 있습니다.
!=,!=
"""Company History""","""회사 연혁"""
"""Customer Provided Item"" cannot be Purchase Item also","""고객 제공 품목""은 구매 품목일 수 없습니다."
"""Customer Provided Item"" cannot have Valuation Rate","""고객 제공 품목""에는 평가단가를 설정할 수 없습니다."
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","품목에 연결된 자산 문서가 있어 ""고정자산 여부""를 해제할 수 없습니다."
"""Parent"" signifies the parent table in which this row must be added","""상위""는 이 행을 추가해야 하는 상위 테이블을 나타냅니다."
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01""부터 ""SN-10""까지의 경우 ""SN-01::10"""
"""Team Members"" or ""Management""","""팀 구성원"" 또는 ""경영진"""
"""amended_from"" field must be present to do an amendment.","수정본을 생성하려면 ""amended_from"" 필드가 있어야 합니다."
"""{0}"" is not a valid Google Sheets URL","""{0}""은(는) 올바른 Google 스프레드시트 URL이 아닙니다"
# In Stock,# 재고 보유 품목
# Req'd Items,# 소요 품목
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name}가 최적화를 위해 대기열에 추가되었습니다.
%  Delivered,출고율(%)
% Amount Billed,청구금액 비율
% Billed,매입전표 반영률(%)
% Complete Method,진행률 산정 방식
% Complete must be between 0 and 100,완료율은 0~100 사이여야 합니다
% Completed,완료율(%)
% Cost Allocation,원가 배부율
% Delivered,출고율
% Finished Item Quantity,완제품 수량 비율
% Installed,설치율
% Occupied,적재율
% Of Grand Total,총합계 대비 비율
% Ordered,발주율
% Picked,피킹률(%)
% Process Loss,공정손실률
% Produced,생산률
% Progress,진행률(%)
% Raw Material Received,원재료 입고율
% Raw Material Returned,원재료 반품률
